ds,eNodeB Name,Integrity,RRC Setup Success Ratio_LTE(%),RRC Setup Success Ratio_NOM_LTE(number),RRC Setup Success Ratio_DENOM_LTE(number),E-RAB Setup Success Ratio_LTE(%),E-RAB Setup Success Ratio_NOM_LTE(number),E-RAB Setup Success Ratio (Denom),E-RAB Drop Ratio_LTE(%),E-RAB Drop Ratio_NOM_LTE(number),E-RAB Drop Ratio_DENOM_LTE(number),Intra-eNB Handover Success Ratio_LTE(%),Intra-eNB Handover Success Ratio_NOM_LTE(number),Intra-eNB Handover Success Ratio_DENOM_LTE(number),Inter-eNB HO Success Ratio (X2-Based)_new_LTE(%),Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number),Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number),Inter-RAT HO Success Ratio %,Inter-RAT HO Success Ratio (Nom),Inter-RAT HO Success Ratio (Denom)(number),IRAT Redir Success Rate_LTE(%),IRAT Redir Success Rate_NOM_LTE(number),IRAT Redir Success Rate_DENOM_LTE(number),CSFB Prepare Success Rate_LTE(number),CSFB Prepare Success Rate_NOM_LTE(number),CSFB Prepare Success Rate_DENOM_LTE(number),CSFB execution ratio_LTE(%),CSFB execution ratio_NOM_LTE(number),CSFB execution ratio_DENOM_LTE(number),CSFB SR v7.0_LTE(%),CSFB SR v7.0_NOM_LTE(number),CSFB SR v7.0_DENOM_LTE(number),S1 Signaling Success Ratio_LTE(%),S1 Signaling Success Ratio_NOM_LTE(number),S1 Signaling Success Ratio_DENOM_LTE(number),Packet Delay Budget (UE to PGW),Packet Delay Budget (UE to PGW) (Nom)(number),Packet Delay Budget (UE to PGW) (Denom)(number),Packet Delay Budget QCI1_QCI5_LTE(ms),Packet Delay Budget QCI1_QCI5 (Nom)(number),Packet Delay Budget QCI1_QCI5 (Denom)(number),Packet Loss-DL_LTE(%),Packet Loss-DL (Nom)(number),Packet Loss-DL (Denom)(number),MS_L2W CSFB Prepare SR(%),MS_L2W CSFB Prepare SR_NOM(number),MS_L2W CSFB Prepare SR_DENOM(number),MS_L2W CSFB Execution SR(%),MS_L2W CSFB Execution SR_NOM(number),MS_L2W CSFB Execution SR_DENOM(number),Maximum eNodeB RB utilization DL_LTE(%),Average eNodeB RB utilization UL_LTE(%),dl_avg,ul_avg,dl_peak,ul_peak,MS_RTWP(dBm),RTWP_LTE(dB),RTWP(dBm0),Duration of Cell Unavailability_LTE(s),L.Cell.Avail.Dur(s),MS_Radio Network Availability Rate (LTE)(%),Volume Traffic DL (MB)(MB),MS_Volume Traffic UL (MB)(MB),Total Traffic_LTE(MB),MS_PI_L.Traffic.User.Max(MAX)(number),MS_Number of CSFB-based blind redirections from E-UTRAN to GERAN(number),MS_Number of CSFB-based blind redirections from E-UTRAN to WCDMA(number),MS_CSFB to UMTS Times(times)(times),MS_CSFB to GSM Times(times)(times),MS_L.RRCRedirection.E2W.CSFB(number),MS_PI_L.Traffic.User.Avg(SUM)(number),MS_PI_L.Traffic.User.Max(SUM)(number),MS_L.Traffic.User.DLData.Avg(number),MS_L.traffic.User.ULData.Avg(number),MS_L.Traffic.ActiveUser.Avg(number),MS_L.Traffic.ActiveUser.Max(number),MS_RBLER-DL(%),MS_PI_L.Traffic.User.Avg(AVG)(number),Maximum eNodeB RB utilization DL (Nom)(number),Maximum eNodeB RB utilization DL (Denom)(number),Average eNodeB RB utilization UL (Nom)(number),Average eNodeB RB utilization UL (Denom)(number),Radio Network Availability Rate (LTE) (Nom)(number),Radio Network Availability Rate (LTE) (Denom)(number),MS_Average PDCP Layer Active Cell Throughput DL(number),MS_Average PDCP Layer Active Cell Throughput DL_NOM(number),MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number),MS_Average PDCP Layer Active Cell Throughput UL(number),MS_Average PDCP Layer Active Cell Throughput UL_NOM(number),MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number),MS_Duration of Cell Unavailability(s),MS_UL Packet Loss Rate(%),MS_UL Packet Loss Rate_NOM(number),MS_UL Packet Loss Rate_DENOM(number),MS_RBLER-DL_NOM(number),MS_RBLER-DL_DENOM(number),MS_Inter-RAT HO Success Ratio(%),MS_Inter-RAT HO Success Ratio_DENOM(number),MS_Inter-RAT HO Success Ratio_NOM(number)
2017-04-03 00:00:00,102762_gebang_mbts,100%,100,697.0,697.0,100.0,731.0,731.0,0.1351,1.0,740.0,100.0,154.0,154.0,100.0,8.0,8.0,/0,0.0,0.0,100.0,51.0,51.0,100,3.0,3.0,100,3.0,3.0,100,3.0,3.0,99.8715,777.0,778.0,16.9961,7875460.0,463369.0,/0,0.0,463369.0,/0,0.0,464093.0,100.0,0.0,0.0,100.0,0.0,0.0,7.1102,12.2395,9.8314,1.0729,17.1207,0.9573,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,456.0289,35.013,491.0419,9.0,0.0,0.0,3.0,0.0,3.0,6.2996,20.0,2.1195,2.3012,0.0,11.0,0.0224,2.0999,1.7776,25.0,3.0599,25.0,10800.0,10800.0,9648.3068,3825447528.0,396489.0,1106.5366,293710232.0,265432.0,0.0,0.0,104.0,372464.0,107.0,476938.0,100.0,0.0,0.0
2017-04-03 01:00:00,102762_gebang_mbts,100%,99.8185,550.0,551.0,100.0,558.0,558.0,0.1802,1.0,555.0,100.0,138.0,138.0,100.0,7.0,7.0,/0,0.0,0.0,100.0,37.0,37.0,100,5.0,5.0,100,5.0,5.0,100,5.0,5.0,100,613.0,613.0,6.0096,3313316.0,551341.0,/0,0.0,551341.0,/0,2.0,551493.0,100.0,0.0,0.0,100.0,0.0,0.0,7.0842,13.2599,9.1234,0.8242,16.9383,1.0065,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,391.3933,58.8811,450.2744,7.0,0.0,0.0,5.0,0.0,5.0,4.1767,16.0,1.5462,1.6679,0.0,8.0,0.0111,1.3922,1.7711,25.0,3.315,25.0,10800.0,10800.0,7144.7736,3283244944.0,459531.0,895.3424,493930864.0,551667.0,0.0,0.0,20.0,490916.0,60.0,540507.0,100.0,0.0,0.0
2017-04-03 02:00:00,102762_gebang_mbts,100%,100,343.0,343.0,100.0,360.0,360.0,0.2801,1.0,357.0,100.0,32.0,32.0,100.0,11.0,11.0,/0,0.0,0.0,100.0,30.0,30.0,100,4.0,4.0,100,4.0,4.0,100,4.0,4.0,100,409.0,409.0,16.7697,12351358.0,736528.0,/0,0.0,736528.0,/0,1.0,737040.0,100.0,0.0,0.0,100.0,0.0,0.0,9.7868,12.7778,8.1767,0.5134,11.1941,0.887,-119.0,-119,-119,0.0,10800.0,100.0,630.7209,40.333,671.0539,11.0,0.0,0.0,4.0,0.0,4.0,3.2825,18.0,1.5717,1.6425,0.0,9.0,0.0165,1.0942,2.4467,25.0,3.1945,25.0,10800.0,10800.0,7553.6921,5290870320.0,700435.0,567.0447,338338016.0,596669.0,0.0,0.0,18.0,641357.0,127.0,769481.0,100.0,0.0,0.0
2017-04-03 03:00:00,102762_gebang_mbts,100%,100,312.0,312.0,100.0,324.0,324.0,0,0.0,331.0,100.0,46.0,46.0,,0.0,0.0,/0,0.0,0.0,100.0,20.0,20.0,/0,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,100,356.0,356.0,6.5963,3787339.0,574157.0,/0,0.0,574157.0,/0,0.0,574512.0,100.0,0.0,0.0,100.0,0.0,0.0,9.4122,12.4286,8.3349,0.4827,9.0385,2.7407,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,584.1868,31.6319,615.8187,12.0,0.0,0.0,0.0,0.0,0.0,3.005,19.0,1.4295,1.5653,0.0,7.0,0.0158,1.0017,2.3531,25.0,3.1072,25.0,10800.0,10800.0,7492.476,4900513856.0,654058.0,540.6327,265347928.0,490810.0,0.0,0.0,36.0,482054.0,114.0,723203.0,100.0,0.0,0.0
2017-04-03 04:00:00,102762_gebang_mbts,100%,100,368.0,368.0,100.0,381.0,381.0,0,0.0,378.0,100.0,40.0,40.0,100.0,6.0,6.0,/0,0.0,0.0,100.0,30.0,30.0,/0,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,100,425.0,425.0,5.3099,2099260.0,395350.0,/0,0.0,395350.0,/0,0.0,395635.0,100.0,0.0,0.0,100.0,0.0,0.0,7.2828,11.889,8.5844,0.5271,7.5532,1.2269,-119.0,-119,-119,0.0,10800.0,100.0,385.2825,20.9278,406.2103,10.0,0.0,0.0,0.0,0.0,0.0,3.2133,17.0,1.3467,1.4267,0.0,7.0,0.0239,1.0711,1.8207,25.0,2.9722,25.0,10800.0,10800.0,7362.7211,3231984216.0,438966.0,575.3183,175554928.0,305144.0,0.0,0.0,13.0,331397.0,118.0,493470.0,100.0,0.0,0.0
2017-04-03 05:00:00,102762_gebang_mbts,100%,100,413.0,413.0,100.0,420.0,420.0,0,0.0,421.0,100.0,194.0,194.0,100.0,5.0,5.0,/0,0.0,0.0,100.0,17.0,17.0,/0,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,100,453.0,453.0,13.8664,1641810.0,118402.0,/0,0.0,118402.0,/0,0.0,118772.0,100.0,0.0,0.0,100.0,0.0,0.0,4.8105,11.3834,10.671,0.3144,10.1844,0.9076,-119.0,-119,-119,0.0,10800.0,100.0,141.4995,7.8061,149.3056,5.0,0.0,0.0,0.0,0.0,0.0,2.7769,13.0,0.9403,1.1233,0.0,8.0,0.0403,0.9257,1.2026,25.0,2.8459,25.0,10800.0,10800.0,9903.4148,1186983688.0,119856.0,386.5122,65482128.0,169418.0,0.0,0.0,135.0,93713.0,65.0,161317.0,100.0,0.0,0.0
2017-04-03 06:00:00,102762_gebang_mbts,100%,100,563.0,563.0,100.0,568.0,568.0,0.1779,1.0,562.0,100.0,106.0,106.0,100.0,13.0,13.0,/0,0.0,0.0,100.0,17.0,17.0,100,3.0,3.0,100,3.0,3.0,100,3.0,3.0,99.8328,597.0,598.0,10.3802,1294688.0,124727.0,/0,0.0,124727.0,/0,2.0,125216.0,100.0,0.0,0.0,100.0,0.0,0.0,4.859,11.1849,13.0427,0.7109,15.8791,1.243,-119.0,-119,-119,0.0,10800.0,100.0,138.0624,9.0942,147.1567,5.0,0.0,0.0,3.0,0.0,3.0,3.267,13.0,0.7575,0.9147,0.0,7.0,0.0513,1.089,1.2148,25.0,2.7962,25.0,10800.0,10800.0,12013.0246,1158151672.0,96408.0,785.1948,76287952.0,97158.0,0.0,0.0,40.0,113008.0,68.0,132619.0,100.0,0.0,0.0
2017-04-03 07:00:00,102762_gebang_mbts,100%,100,558.0,558.0,100.0,563.0,563.0,0,0.0,567.0,100.0,27.0,27.0,100.0,12.0,12.0,/0,0.0,0.0,100.0,18.0,18.0,100,3.0,3.0,100,3.0,3.0,100,3.0,3.0,99.6721,608.0,610.0,6.2053,668997.0,107810.0,/0,0.0,107810.0,/0,0.0,108673.0,100.0,0.0,0.0,100.0,0.0,0.0,4.8414,11.2083,13.5143,1.3583,17.2788,0.6671,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,110.2712,11.021,121.2922,5.0,0.0,0.0,3.0,0.0,3.0,3.9089,13.0,0.9333,1.1689,0.0,8.0,0.0734,1.303,1.2103,25.0,2.8021,25.0,10800.0,10800.0,11012.1648,925021840.0,84000.0,1315.1861,92451008.0,70295.0,0.0,0.0,4.0,109220.0,93.0,126666.0,100.0,0.0,0.0
2017-04-03 08:00:00,102762_gebang_mbts,100%,100,698.0,698.0,100.0,716.0,716.0,0,0.0,720.0,100.0,121.0,121.0,100.0,17.0,17.0,/0,0.0,0.0,100.0,36.0,36.0,100,1.0,1.0,100,1.0,1.0,100,1.0,1.0,99.7442,780.0,782.0,13.0691,1852236.0,141726.0,/0,0.0,141726.0,/0,0.0,141957.0,100.0,0.0,0.0,100.0,0.0,0.0,5.2155,11.5179,13.0126,0.7191,17.4356,0.6323,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,152.2443,11.2596,163.5039,10.0,0.0,0.0,1.0,0.0,1.0,5.2444,21.0,1.2906,1.6119,0.0,9.0,0.0487,1.7481,1.3039,25.0,2.8795,25.0,10800.0,10800.0,10938.7226,1277117736.0,116752.0,828.0469,94451992.0,114066.0,0.0,0.0,9.0,128596.0,84.0,172566.0,100.0,0.0,0.0
2017-04-03 09:00:00,102762_gebang_mbts,100%,99.8582,704.0,705.0,100.0,754.0,754.0,0,0.0,747.0,100.0,108.0,108.0,100.0,3.0,3.0,/0,0.0,0.0,100.0,67.0,67.0,100,15.0,15.0,100,15.0,15.0,100,15.0,15.0,100,800.0,800.0,4.6901,310787.0,66264.0,/0,0.0,66264.0,/0,0.0,66452.0,100.0,0.0,0.0,100.0,0.0,0.0,4.7408,11.6265,10.9737,0.9187,6.7242,0.8226,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,44.3841,15.4817,59.8658,7.0,0.0,0.0,15.0,0.0,15.0,4.6289,19.0,1.2012,1.5482,0.0,7.0,0.0559,1.543,1.1852,25.0,2.9066,25.0,10800.0,10800.0,6070.2843,372320888.0,61335.0,1024.6941,129869728.0,126740.0,0.0,0.0,6.0,71376.0,67.0,119852.0,100.0,0.0,0.0
2017-04-03 10:00:00,102762_gebang_mbts,100%,100,720.0,720.0,100.0,819.0,819.0,0,0.0,821.0,100.0,101.0,101.0,100.0,19.0,19.0,/0,0.0,0.0,100.0,83.0,83.0,100,12.0,12.0,100,12.0,12.0,100,12.0,12.0,99.8807,837.0,838.0,21.5784,4607896.0,213542.0,/0,0.0,213542.0,/0,0.0,214873.0,100.0,0.0,0.0,100.0,0.0,0.0,6.1031,12.0855,10.5759,0.7243,17.2447,1.4045,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,235.2147,20.2634,255.4781,11.0,0.0,0.0,12.0,0.0,12.0,5.7277,25.0,1.565,1.9822,0.0,10.0,0.0875,1.9092,1.5258,25.0,3.0214,25.0,10800.0,10800.0,9999.7154,1973123840.0,197318.0,837.816,169981968.0,202887.0,0.0,0.0,375.0,193623.0,234.0,267305.0,100.0,0.0,0.0
2017-04-03 11:00:00,102762_gebang_mbts,100%,100,788.0,788.0,100.0,851.0,851.0,0,0.0,846.0,100.0,141.0,141.0,100.0,45.0,45.0,/0,0.0,0.0,100.0,57.0,57.0,100,8.0,8.0,100,8.0,8.0,100,8.0,8.0,99.8837,859.0,860.0,12.931,4870580.0,376660.0,/0,0.0,376660.0,/0,0.0,377857.0,100.0,0.0,0.0,100.0,0.0,0.0,7.6657,12.8974,10.28,0.5782,17.3975,0.8632,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,412.7338,32.7437,445.4775,15.0,0.0,0.0,8.0,0.0,8.0,7.9917,27.0,2.8323,3.0222,0.0,10.0,0.0524,2.6639,1.9164,25.0,3.2244,25.0,10800.0,10800.0,9497.4895,3462262312.0,364545.0,698.9262,274673784.0,392994.0,0.0,0.0,102.0,359601.0,245.0,467486.0,100.0,0.0,0.0
2017-04-03 12:00:00,102762_gebang_mbts,100%,99.8529,679.0,680.0,100.0,773.0,773.0,0,0.0,773.0,100.0,920.0,920.0,100.0,5.0,5.0,/0,0.0,0.0,100.0,22.0,22.0,100,2.0,2.0,100,2.0,2.0,100,2.0,2.0,100,717.0,717.0,29.1012,24728044.0,849727.0,/0,0.0,849727.0,/0,1.0,851656.0,100.0,0.0,0.0,100.0,0.0,0.0,14.5656,14.5689,6.4928,0.3047,10.8425,0.8326,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,915.315,50.7517,966.0667,10.0,0.0,0.0,2.0,0.0,2.0,7.2908,21.0,2.9736,3.125,0.0,11.0,0.0269,2.4303,3.6414,25.0,3.6422,25.0,10800.0,10800.0,6733.5552,7678219080.0,1140292.0,371.8138,425736040.0,1145025.0,0.0,0.0,374.0,738734.0,345.0,1281340.0,100.0,0.0,0.0
2017-04-03 13:00:00,102762_gebang_mbts,100%,100,478.0,478.0,100.0,510.0,510.0,0,0.0,512.0,100.0,141.0,141.0,100.0,14.0,14.0,/0,0.0,0.0,100.0,25.0,25.0,100,3.0,3.0,100,3.0,3.0,100,3.0,3.0,99.8099,525.0,526.0,14.6089,12743320.0,872296.0,/0,0.0,872296.0,/0,0.0,875454.0,100.0,0.0,0.0,100.0,0.0,0.0,11.6782,15.9182,8.0529,1.042,14.6784,1.6444,-118.0,-118,-118,0.0,10800.0,100.0,728.533,148.0366,876.5696,6.0,0.0,0.0,3.0,0.0,3.0,6.3654,16.0,3.1322,3.3053,0.0,11.0,0.0454,2.1218,2.9195,25.0,3.9796,25.0,10800.0,10800.0,6751.1356,6111377768.0,905237.0,1128.1304,1241821144.0,1100778.0,0.0,0.0,73.0,796429.0,485.0,1068851.0,100.0,0.0,0.0
2017-04-03 14:00:00,102762_gebang_mbts,100%,100,597.0,597.0,99.8452,645.0,646.0,0,0.0,640.0,100.0,492.0,492.0,100.0,17.0,17.0,/0,0.0,0.0,100.0,107.0,107.0,100,4.0,4.0,100,4.0,4.0,100,4.0,4.0,99.8615,721.0,722.0,34.7307,33241374.0,957119.0,/0,0.0,957119.0,/0,0.0,959669.0,100.0,0.0,0.0,100.0,0.0,0.0,15.3562,17.151,5.9808,1.6309,11.3765,9.0462,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,947.5717,218.9335,1166.5052,11.0,0.0,0.0,4.0,0.0,4.0,8.479,24.0,4.0547,4.3494,0.0,13.0,0.0553,2.8263,3.8391,25.0,4.2878,25.0,10800.0,10800.0,6514.8875,7948807712.0,1220099.0,1644.4564,1836547016.0,1116811.0,0.0,0.0,3083.0,901437.0,809.0,1462509.0,100.0,0.0,0.0
2017-04-03 15:00:00,102762_gebang_mbts,100%,100,576.0,576.0,99.835,605.0,606.0,0,0.0,612.0,100.0,107.0,107.0,100.0,17.0,17.0,/0,0.0,0.0,100.0,74.0,74.0,100,6.0,6.0,100,6.0,6.0,100,6.0,6.0,99.8485,659.0,660.0,19.4723,6747168.0,346500.0,/0,0.0,346500.0,/0,2.0,347976.0,100.0,0.0,0.0,100.0,0.0,0.0,7.734,13.1249,9.1696,0.4536,17.2634,1.5564,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,375.8324,30.3491,406.1814,7.0,0.0,0.0,6.0,0.0,6.0,6.5616,16.0,2.5878,2.8481,0.0,11.0,0.0935,2.1872,1.9335,25.0,3.2812,25.0,10800.0,10800.0,8988.8158,3152710280.0,350737.0,561.3255,254586368.0,453545.0,0.0,0.0,2489.0,313327.0,427.0,456751.0,100.0,0.0,0.0
