ds,eNodeB Name,Integrity,RRC Setup Success Ratio_LTE(%),RRC Setup Success Ratio_NOM_LTE(number),RRC Setup Success Ratio_DENOM_LTE(number),E-RAB Setup Success Ratio_LTE(%),E-RAB Setup Success Ratio_NOM_LTE(number),E-RAB Setup Success Ratio (Denom),E-RAB Drop Ratio_LTE(%),E-RAB Drop Ratio_NOM_LTE(number),E-RAB Drop Ratio_DENOM_LTE(number),Intra-eNB Handover Success Ratio_LTE(%),Intra-eNB Handover Success Ratio_NOM_LTE(number),Intra-eNB Handover Success Ratio_DENOM_LTE(number),Inter-eNB HO Success Ratio (X2-Based)_new_LTE(%),Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number),Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number),Inter-RAT HO Success Ratio %,Inter-RAT HO Success Ratio (Nom),Inter-RAT HO Success Ratio (Denom)(number),IRAT Redir Success Rate_LTE(%),IRAT Redir Success Rate_NOM_LTE(number),IRAT Redir Success Rate_DENOM_LTE(number),CSFB Prepare Success Rate_LTE(number),CSFB Prepare Success Rate_NOM_LTE(number),CSFB Prepare Success Rate_DENOM_LTE(number),CSFB execution ratio_LTE(%),CSFB execution ratio_NOM_LTE(number),CSFB execution ratio_DENOM_LTE(number),CSFB SR v7.0_LTE(%),CSFB SR v7.0_NOM_LTE(number),CSFB SR v7.0_DENOM_LTE(number),S1 Signaling Success Ratio_LTE(%),S1 Signaling Success Ratio_NOM_LTE(number),S1 Signaling Success Ratio_DENOM_LTE(number),Packet Delay Budget (UE to PGW),Packet Delay Budget (UE to PGW) (Nom)(number),Packet Delay Budget (UE to PGW) (Denom)(number),Packet Delay Budget QCI1_QCI5_LTE(ms),Packet Delay Budget QCI1_QCI5 (Nom)(number),Packet Delay Budget QCI1_QCI5 (Denom)(number),Packet Loss-DL_LTE(%),Packet Loss-DL (Nom)(number),Packet Loss-DL (Denom)(number),MS_L2W CSFB Prepare SR(%),MS_L2W CSFB Prepare SR_NOM(number),MS_L2W CSFB Prepare SR_DENOM(number),MS_L2W CSFB Execution SR(%),MS_L2W CSFB Execution SR_NOM(number),MS_L2W CSFB Execution SR_DENOM(number),Maximum eNodeB RB utilization DL_LTE(%),Average eNodeB RB utilization UL_LTE(%),dl_avg,ul_avg,dl_peak,ul_peak,MS_RTWP(dBm),RTWP_LTE(dB),RTWP(dBm0),Duration of Cell Unavailability_LTE(s),L.Cell.Avail.Dur(s),MS_Radio Network Availability Rate (LTE)(%),Volume Traffic DL (MB)(MB),MS_Volume Traffic UL (MB)(MB),Total Traffic_LTE(MB),MS_PI_L.Traffic.User.Max(MAX)(number),MS_Number of CSFB-based blind redirections from E-UTRAN to GERAN(number),MS_Number of CSFB-based blind redirections from E-UTRAN to WCDMA(number),MS_CSFB to UMTS Times(times)(times),MS_CSFB to GSM Times(times)(times),MS_L.RRCRedirection.E2W.CSFB(number),MS_PI_L.Traffic.User.Avg(SUM)(number),MS_PI_L.Traffic.User.Max(SUM)(number),MS_L.Traffic.User.DLData.Avg(number),MS_L.traffic.User.ULData.Avg(number),MS_L.Traffic.ActiveUser.Avg(number),MS_L.Traffic.ActiveUser.Max(number),MS_RBLER-DL(%),MS_PI_L.Traffic.User.Avg(AVG)(number),Maximum eNodeB RB utilization DL (Nom)(number),Maximum eNodeB RB utilization DL (Denom)(number),Average eNodeB RB utilization UL (Nom)(number),Average eNodeB RB utilization UL (Denom)(number),Radio Network Availability Rate (LTE) (Nom)(number),Radio Network Availability Rate (LTE) (Denom)(number),MS_Average PDCP Layer Active Cell Throughput DL(number),MS_Average PDCP Layer Active Cell Throughput DL_NOM(number),MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number),MS_Average PDCP Layer Active Cell Throughput UL(number),MS_Average PDCP Layer Active Cell Throughput UL_NOM(number),MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number),MS_Duration of Cell Unavailability(s),MS_UL Packet Loss Rate(%),MS_UL Packet Loss Rate_NOM(number),MS_UL Packet Loss Rate_DENOM(number),MS_RBLER-DL_NOM(number),MS_RBLER-DL_DENOM(number),MS_Inter-RAT HO Success Ratio(%),MS_Inter-RAT HO Success Ratio_DENOM(number),MS_Inter-RAT HO Success Ratio_NOM(number)
2017-04-03 00:00:00,103481_majalengka_sukahaji_mbts,100%,100,1219.0,1219.0,100.0,1244.0,1244.0,0,0.0,1251.0,100.0,6.0,6.0,0.0,0.0,1.0,/0,0.0,0.0,100.0,84.0,84.0,100,7.0,7.0,100,7.0,7.0,100,7.0,7.0,100,1323.0,1323.0,113.8956,228857326.0,2009361.0,/0,0.0,2009361.0,/0,2.0,2009771.0,100.0,0.0,0.0,100.0,0.0,0.0,19.3289,18.506,7.3673,0.6466,16.3455,1.0865,-119.0,-119,-119,0.0,10800.0,100.0,2034.6193,108.3471,2142.9663,19.0,0.0,0.0,7.0,0.0,7.0,12.9642,26.0,6.6763,6.99,0.0,11.0,0.0145,4.3214,4.8322,25.0,4.6265,25.0,10800.0,10800.0,9269.6354,17067623456.0,1841240.0,712.9731,908880976.0,1274776.0,0.0,0.0,59.0,1437690.0,359.0,2472157.0,100.0,0.0,0.0
2017-04-03 01:00:00,103481_majalengka_sukahaji_mbts,100%,100,1307.0,1307.0,100.0,1325.0,1325.0,0,0.0,1331.0,100.0,2.0,2.0,100.0,3.0,3.0,/0,0.0,0.0,100.0,42.0,42.0,/0,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,100,1384.0,1384.0,78.4745,96638949.0,1231469.0,/0,0.0,1231469.0,/0,1.0,1231771.0,100.0,0.0,0.0,100.0,0.0,0.0,16.5637,15.4839,6.7418,0.7721,13.9642,1.5468,-119.0,-119,-119,0.0,10800.0,100.0,1409.001,72.1348,1481.1359,16.0,0.0,0.0,0.0,0.0,0.0,11.5403,22.0,4.4789,4.9192,0.0,10.0,0.0122,3.8468,4.1409,25.0,3.871,25.0,10800.0,10800.0,8573.7685,11819557128.0,1378572.0,810.8179,605110960.0,746297.0,0.0,0.0,12.0,937590.0,212.0,1737514.0,100.0,0.0,0.0
2017-04-03 02:00:00,103481_majalengka_sukahaji_mbts,100%,99.9166,1198.0,1199.0,100.0,1218.0,1218.0,0,0.0,1222.0,100.0,191.0,191.0,50.0,1.0,2.0,/0,0.0,0.0,100.0,72.0,72.0,100,3.0,3.0,100,3.0,3.0,100,3.0,3.0,100,1302.0,1302.0,115.3526,83525053.0,724085.0,/0,0.0,724085.0,/0,0.0,724275.0,100.0,0.0,0.0,100.0,0.0,0.0,13.0066,15.0818,4.3279,0.4706,10.3503,0.7564,-119.0,-119,-119,0.0,10800.0,100.0,646.3912,42.4776,688.8688,17.0,0.0,0.0,3.0,0.0,3.0,10.1839,25.0,3.7534,4.5396,0.0,10.0,0.0108,3.3946,3.2516,25.0,3.7705,25.0,10800.0,10800.0,5013.5568,5422322128.0,1081532.0,532.5303,356328264.0,669123.0,0.0,0.0,17.0,424890.0,144.0,1329199.0,100.0,0.0,0.0
2017-04-03 03:00:00,103481_majalengka_sukahaji_mbts,100%,100,1246.0,1246.0,100.0,1254.0,1254.0,0.0792,1.0,1263.0,100.0,286.0,286.0,100.0,10.0,10.0,/0,0.0,0.0,100.0,38.0,38.0,/0,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,100,1327.0,1327.0,138.896,130460604.0,939268.0,/0,0.0,939268.0,/0,3.0,939487.0,100.0,0.0,0.0,100.0,0.0,0.0,14.4456,15.493,5.2399,0.5482,11.2823,0.827,-119.0,-119,-119,0.0,10800.0,100.0,863.2162,66.2206,929.4368,16.0,0.0,0.0,0.0,0.0,0.0,10.5076,23.0,4.0931,4.8122,0.0,9.0,0.0116,3.5026,3.6114,25.0,3.8733,25.0,10800.0,10800.0,5767.0677,7241182144.0,1255609.0,620.3818,555498528.0,895414.0,0.0,0.0,336.0,563652.0,180.0,1547449.0,100.0,0.0,0.0
2017-04-03 04:00:00,103481_majalengka_sukahaji_mbts,100%,100,1706.0,1706.0,100.0,1732.0,1732.0,0.1149,2.0,1740.0,100.0,104.0,104.0,100.0,19.0,19.0,/0,0.0,0.0,100.0,83.0,83.0,/0,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,99.8389,1859.0,1862.0,45.6376,38835216.0,850948.0,/0,0.0,850948.0,/0,2.0,851314.0,100.0,0.0,0.0,100.0,0.0,0.0,12.4998,15.164,7.103,0.6669,17.0799,1.9315,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,951.5479,53.6,1005.1479,18.0,0.0,0.0,0.0,0.0,0.0,12.8494,27.0,4.1645,4.8666,0.0,11.0,0.0271,4.2831,3.125,25.0,3.791,25.0,10800.0,10800.0,8394.6506,7982162680.0,950863.0,722.8357,449629080.0,622035.0,0.0,0.0,16.0,695180.0,322.0,1187277.0,100.0,0.0,0.0
2017-04-03 05:00:00,103481_majalengka_sukahaji_mbts,100%,100,2021.0,2021.0,100.0,2061.0,2061.0,0,0.0,2063.0,100.0,69.0,69.0,100.0,63.0,63.0,/0,0.0,0.0,100.0,125.0,125.0,100,3.0,3.0,100,3.0,3.0,100,3.0,3.0,99.9544,2194.0,2195.0,13.7655,7802853.0,566842.0,/0,0.0,566842.0,/0,0.0,567634.0,100.0,0.0,0.0,100.0,0.0,0.0,9.4153,14.7042,5.9322,0.7258,13.7167,1.512,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,459.0507,41.7707,500.8214,18.0,0.0,0.0,3.0,0.0,3.0,13.9564,29.0,4.1974,5.0414,0.0,11.0,0.1453,4.6521,2.3538,25.0,3.6761,25.0,10800.0,10800.0,6230.8102,3850796448.0,618025.0,742.6225,350398256.0,471839.0,0.0,0.0,103.0,506630.0,1194.0,821600.0,100.0,0.0,0.0
2017-04-03 06:00:00,103481_majalengka_sukahaji_mbts,100%,100,2224.0,2224.0,99.9564,2293.0,2294.0,0,0.0,2293.0,100.0,113.0,113.0,100.0,108.0,108.0,/0,0.0,0.0,100.0,238.0,238.0,100,1.0,1.0,100,1.0,1.0,100,1.0,1.0,99.8817,2532.0,2535.0,10.4767,8344030.0,796435.0,/0,0.0,796435.0,/0,0.0,797171.0,100.0,0.0,0.0,100.0,0.0,0.0,10.211,17.1909,7.0143,2.2326,9.7382,6.7964,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,561.9095,213.9698,775.8793,22.0,0.0,0.0,1.0,0.0,1.0,16.3009,34.0,5.0742,5.9258,0.0,11.0,0.0827,5.4336,2.5527,25.0,4.2977,25.0,10800.0,10800.0,6351.4575,4713638904.0,742135.0,2067.2598,1794908680.0,868255.0,0.0,0.0,34.0,822824.0,815.0,985346.0,100.0,0.0,0.0
2017-04-03 07:00:00,103481_majalengka_sukahaji_mbts,100%,100,1997.0,1997.0,99.9514,2058.0,2059.0,0,0.0,2063.0,100.0,120.0,120.0,100.0,90.0,90.0,/0,0.0,0.0,100.0,326.0,326.0,/0,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,99.9578,2371.0,2372.0,29.1037,27604264.0,948478.0,/0,0.0,948478.0,/0,0.0,950324.0,100.0,0.0,0.0,100.0,0.0,0.0,14.2905,17.0851,6.3092,2.2514,14.1884,8.179,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,895.5469,232.4133,1127.9602,17.0,0.0,0.0,0.0,0.0,0.0,14.1192,30.0,4.4128,5.1231,0.0,12.0,0.0945,4.7064,3.5726,25.0,4.2713,25.0,10800.0,10800.0,6730.7982,7512391960.0,1116122.0,2079.8027,1949623664.0,937408.0,0.0,0.0,20.0,890152.0,1272.0,1345802.0,100.0,0.0,0.0
2017-04-03 08:00:00,103481_majalengka_sukahaji_mbts,100%,100,1781.0,1781.0,100.0,1837.0,1837.0,0.0542,1.0,1846.0,100.0,91.0,91.0,100.0,88.0,88.0,/0,0.0,0.0,100.0,146.0,146.0,100,4.0,4.0,100,4.0,4.0,100,4.0,4.0,100,2004.0,2004.0,35.7499,32120535.0,898480.0,/0,0.0,898480.0,/0,0.0,898985.0,100.0,0.0,0.0,100.0,0.0,0.0,13.54,14.5796,6.8388,1.0201,14.5099,1.4641,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,860.9181,71.8249,932.7431,14.0,0.0,0.0,4.0,0.0,4.0,14.0322,28.0,4.5606,5.1844,0.0,13.0,0.0334,4.6774,3.385,25.0,3.6449,25.0,10800.0,10800.0,7033.3889,7221904784.0,1026803.0,1039.5543,602511112.0,579586.0,0.0,0.0,54.0,778282.0,418.0,1250582.0,100.0,0.0,0.0
2017-04-03 09:00:00,103481_majalengka_sukahaji_mbts,100%,100,1802.0,1802.0,99.9452,1825.0,1826.0,0,0.0,1819.0,100.0,107.0,107.0,100.0,155.0,155.0,/0,0.0,0.0,100.0,85.0,85.0,100,1.0,1.0,100,1.0,1.0,100,1.0,1.0,99.9487,1948.0,1949.0,22.7166,28642437.0,1260860.0,/0,0.0,1260860.0,/0,1.0,1262552.0,100.0,0.0,0.0,100.0,0.0,0.0,13.8931,16.5124,9.4804,0.9391,16.8014,3.0773,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,1176.7764,108.0842,1284.8606,16.0,0.0,0.0,1.0,0.0,1.0,16.4186,35.0,5.7772,6.6419,0.0,13.0,0.0806,5.4729,3.4733,25.0,4.1281,25.0,10800.0,10800.0,8677.8512,9871515616.0,1137553.0,978.2226,906676352.0,926861.0,0.0,0.0,62.0,933818.0,1133.0,1405995.0,100.0,0.0,0.0
