target,feature_selection,n_feature,features,normalized_mae,original_mae,normalized_mse,original_mse,normalized_r_squared,original_r_squared
dl_avg,Correlation,2,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)', 'MS_RBLER-DL_NOM(number)'], dtype='object')",0.6458932358450268,1.6460912083360884,0.7423568984786383,4.821687619011904,-1.1626559675020038,-1.1626560127634336
dl_avg,Correlation,3,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL_NOM(number)', 'Average eNodeB RB utilization UL_LTE(%)'],
      dtype='object')",0.6910667924338171,1.761218270658122,0.8753030973917784,5.68518731866163,-1.0641846884765127,-1.0641846635179197
dl_avg,Correlation,4,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL_NOM(number)', 'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)'],
      dtype='object')",0.7113345704306239,1.8128717221683925,0.8021559675478404,5.210088854264757,-1.6109211934494323,-1.6109211899635105
dl_avg,Correlation,5,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL_NOM(number)', 'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)'],
      dtype='object')",0.7023655865798174,1.7900138094531168,0.8082639057717026,5.249760603760582,-1.4335725851888346,-1.4335725627360931
dl_avg,Correlation,6,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL_NOM(number)', 'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)'],
      dtype='object')",0.7619097214683728,1.9417650031672582,0.9940126197497219,6.456218384698548,-1.0116733625205732,-1.0116734677636527
dl_avg,Correlation,7,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL_NOM(number)', 'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)'],
      dtype='object')",0.7712924534899304,1.96567734831704,1.0706617300117722,6.9540624633142825,-1.0577264465529348,-1.0577264408292861
dl_avg,Correlation,8,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL_NOM(number)', 'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)'],
      dtype='object')",0.7407756640511229,1.8879038355191549,0.8789872215055626,5.709116182552961,-1.8387421094949987,-1.8387420658065445
dl_avg,Correlation,9,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL_NOM(number)', 'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)'],
      dtype='object')",0.8577114576870671,2.185920510726505,1.2339167042602492,8.014420894923354,-0.4313119869600657,-0.4313120313253358
dl_avg,Correlation,10,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL_NOM(number)', 'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)'],
      dtype='object')",0.7786605495537299,1.984455393791861,0.9824316406017365,6.3809988646289995,-1.1018866776050102,-1.1018866692361629
dl_avg,Correlation,11,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL_NOM(number)', 'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)',
       'MS_PI_L.Traffic.User.Avg(SUM)(number)'],
      dtype='object')",0.8512290308068392,2.169399720674091,1.2501175443014536,8.119647194238485,-0.4324227702588985,-0.43242277960465314
