eNodeB Name,Integrity,RRC Setup Success Ratio_LTE(%),RRC Setup Success Ratio_NOM_LTE(number),RRC Setup Success Ratio_DENOM_LTE(number),E-RAB Setup Success Ratio_LTE(%),E-RAB Setup Success Ratio_NOM_LTE(number),E-RAB Setup Success Ratio (Denom),E-RAB Drop Ratio_LTE(%),E-RAB Drop Ratio_NOM_LTE(number),E-RAB Drop Ratio_DENOM_LTE(number),Intra-eNB Handover Success Ratio_LTE(%),Intra-eNB Handover Success Ratio_NOM_LTE(number),Intra-eNB Handover Success Ratio_DENOM_LTE(number),Inter-eNB HO Success Ratio (X2-Based)_new_LTE(%),Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number),Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number),Inter-RAT HO Success Ratio %,Inter-RAT HO Success Ratio (Nom),Inter-RAT HO Success Ratio (Denom)(number),IRAT Redir Success Rate_LTE(%),IRAT Redir Success Rate_NOM_LTE(number),IRAT Redir Success Rate_DENOM_LTE(number),CSFB Prepare Success Rate_LTE(number),CSFB Prepare Success Rate_NOM_LTE(number),CSFB Prepare Success Rate_DENOM_LTE(number),CSFB execution ratio_LTE(%),CSFB execution ratio_NOM_LTE(number),CSFB execution ratio_DENOM_LTE(number),CSFB SR v7.0_LTE(%),CSFB SR v7.0_NOM_LTE(number),CSFB SR v7.0_DENOM_LTE(number),S1 Signaling Success Ratio_LTE(%),S1 Signaling Success Ratio_NOM_LTE(number),S1 Signaling Success Ratio_DENOM_LTE(number),Packet Delay Budget (UE to PGW),Packet Delay Budget (UE to PGW) (Nom)(number),Packet Delay Budget (UE to PGW) (Denom)(number),Packet Delay Budget QCI1_QCI5_LTE(ms),Packet Delay Budget QCI1_QCI5 (Nom)(number),Packet Delay Budget QCI1_QCI5 (Denom)(number),Packet Loss-DL_LTE(%),Packet Loss-DL (Nom)(number),Packet Loss-DL (Denom)(number),MS_L2W CSFB Prepare SR(%),MS_L2W CSFB Prepare SR_NOM(number),MS_L2W CSFB Prepare SR_DENOM(number),MS_L2W CSFB Execution SR(%),MS_L2W CSFB Execution SR_NOM(number),MS_L2W CSFB Execution SR_DENOM(number),Maximum eNodeB RB utilization DL_LTE(%),Average eNodeB RB utilization UL_LTE(%),dl_avg,ul_avg,dl_peak,ul_peak,MS_RTWP(dBm),RTWP_LTE(dB),RTWP(dBm0),Duration of Cell Unavailability_LTE(s),L.Cell.Avail.Dur(s),MS_Radio Network Availability Rate (LTE)(%),Volume Traffic DL (MB)(MB),MS_Volume Traffic UL (MB)(MB),Total Traffic_LTE(MB),MS_PI_L.Traffic.User.Max(MAX)(number),MS_Number of CSFB-based blind redirections from E-UTRAN to GERAN(number),MS_Number of CSFB-based blind redirections from E-UTRAN to WCDMA(number),MS_CSFB to UMTS Times(times)(times),MS_CSFB to GSM Times(times)(times),MS_L.RRCRedirection.E2W.CSFB(number),MS_PI_L.Traffic.User.Avg(SUM)(number),MS_PI_L.Traffic.User.Max(SUM)(number),MS_L.Traffic.User.DLData.Avg(number),MS_L.traffic.User.ULData.Avg(number),MS_L.Traffic.ActiveUser.Avg(number),MS_L.Traffic.ActiveUser.Max(number),MS_RBLER-DL(%),MS_PI_L.Traffic.User.Avg(AVG)(number),Maximum eNodeB RB utilization DL (Nom)(number),Maximum eNodeB RB utilization DL (Denom)(number),Average eNodeB RB utilization UL (Nom)(number),Average eNodeB RB utilization UL (Denom)(number),Radio Network Availability Rate (LTE) (Nom)(number),Radio Network Availability Rate (LTE) (Denom)(number),MS_Average PDCP Layer Active Cell Throughput DL(number),MS_Average PDCP Layer Active Cell Throughput DL_NOM(number),MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number),MS_Average PDCP Layer Active Cell Throughput UL(number),MS_Average PDCP Layer Active Cell Throughput UL_NOM(number),MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number),MS_Duration of Cell Unavailability(s),MS_UL Packet Loss Rate(%),MS_UL Packet Loss Rate_NOM(number),MS_UL Packet Loss Rate_DENOM(number),MS_RBLER-DL_NOM(number),MS_RBLER-DL_DENOM(number),MS_Inter-RAT HO Success Ratio(%),MS_Inter-RAT HO Success Ratio_DENOM(number),MS_Inter-RAT HO Success Ratio_NOM(number)
103437_AstanaJapura_Bunte_MBTS,100.0,100.0,1203.0,1203.0,99.919,1234.0,1235.0,0.0,0.0,1215.0,100.0,159.0,159.0,96.7391,89.0,92.0,0.0,0.0,0.0,100.0,136.0,136.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,1434.0,1434.0,47.4668,39031163.0,822284.0,0.0,0.0,822284.0,0.0,0.0,823746.0,100.0,0.0,0.0,100.0,0.0,0.0,11.8568,12.6441,6.781,1.0853,15.3919,0.8351,-118.0,-118.0,-118.0,0.0,10800.0,100.0,760.3549,46.7876,807.1425,11.0,0.0,0.0,1.0,0.0,1.0,7.097,24.0,1.8997,2.0994,0.0,9.0,0.0826,2.3657,2.9642,25.0,3.161,25.0,10800.0,10800.0,7103.0744,6378319264.0,897966.0,1005.5907,392483056.0,390301.0,0.0,0.0,22.0,734910.0,835.0,1011064.0,100.0,0.0,0.0
103437_AstanaJapura_Bunte_MBTS,100.0,99.8832,855.0,856.0,100.0,872.0,872.0,0.0,0.0,866.0,100.0,111.0,111.0,98.2143,55.0,56.0,0.0,0.0,0.0,100.0,73.0,73.0,100.0,6.0,6.0,100.0,6.0,6.0,100.0,6.0,6.0,99.9016,1015.0,1016.0,24.0571,3135534.0,130337.0,0.0,0.0,130337.0,0.0,0.0,130642.0,100.0,0.0,0.0,100.0,0.0,0.0,4.4877,11.2222,9.7849,1.1733,15.6887,0.8438,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,113.5322,9.1547,122.6869,8.0,0.0,0.0,6.0,0.0,6.0,4.2994,19.0,0.7661,0.9456,0.0,9.0,0.1086,1.4332,1.1219,25.0,2.8056,25.0,10800.0,10800.0,8579.8937,952376784.0,111001.0,1086.6766,76795432.0,70670.0,0.0,0.0,1.0,119647.0,176.0,162095.0,100.0,0.0,0.0
103437_AstanaJapura_Bunte_MBTS,100.0,99.8693,764.0,765.0,100.0,770.0,770.0,0.1312,1.0,762.0,100.0,105.0,105.0,93.617,44.0,47.0,0.0,0.0,0.0,100.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,847.0,847.0,42.9251,33129189.0,771790.0,0.0,0.0,771790.0,0.0,0.0,773206.0,100.0,0.0,0.0,100.0,0.0,0.0,8.8115,11.5747,11.8212,1.5995,17.3486,0.8212,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,855.6751,40.8647,896.5398,14.0,0.0,0.0,0.0,0.0,0.0,4.4344,26.0,1.132,1.3269,0.0,10.0,0.0814,1.4782,2.2029,25.0,2.8937,25.0,10800.0,10800.0,12531.29,7177922904.0,572800.0,1507.3209,342797944.0,227422.0,0.0,0.0,4.0,557816.0,527.0,647799.0,100.0,0.0,0.0
103437_AstanaJapura_Bunte_MBTS,100.0,100.0,631.0,631.0,100.0,646.0,646.0,0.3135,2.0,638.0,100.0,55.0,55.0,90.9091,10.0,11.0,0.0,0.0,0.0,100.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,689.0,689.0,29.0454,15028043.0,517398.0,0.0,0.0,517398.0,0.0,1.0,518121.0,100.0,0.0,0.0,100.0,0.0,0.0,6.6775,11.0938,14.9603,1.7496,16.1987,0.8199,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,636.3607,26.887,663.2477,6.0,0.0,0.0,0.0,0.0,0.0,3.1181,14.0,0.704,0.8481,0.0,8.0,0.0301,1.0394,1.6694,25.0,2.7735,25.0,10800.0,10800.0,15273.1962,5338180624.0,349513.0,1696.1019,225544240.0,132978.0,0.0,0.0,1.0,347862.0,118.0,392163.0,100.0,0.0,0.0
103437_AstanaJapura_Bunte_MBTS,100.0,100.0,467.0,467.0,100.0,474.0,474.0,0.0,0.0,477.0,100.0,50.0,50.0,94.4444,17.0,18.0,0.0,0.0,0.0,100.0,32.0,32.0,100.0,5.0,5.0,100.0,5.0,5.0,100.0,5.0,5.0,100.0,531.0,531.0,13.9508,3059079.0,219276.0,0.0,0.0,219276.0,0.0,0.0,219821.0,100.0,0.0,0.0,100.0,0.0,0.0,5.3309,10.9914,11.1546,0.7553,8.8254,0.5494,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,270.4753,13.0165,283.4918,5.0,0.0,0.0,5.0,0.0,5.0,2.3911,12.0,0.5529,0.6313,0.0,6.0,0.0621,0.797,1.3327,25.0,2.7478,25.0,10800.0,10800.0,11322.4209,2268911240.0,200391.0,819.081,109190048.0,133308.0,0.0,0.0,57.0,189231.0,142.0,228676.0,100.0,0.0,0.0
103437_AstanaJapura_Bunte_MBTS,100.0,100.0,570.0,570.0,99.6558,579.0,581.0,0.0,0.0,572.0,99.4186,171.0,172.0,100.0,36.0,36.0,0.0,0.0,0.0,100.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,676.0,676.0,32.7726,9407123.0,287042.0,0.0,0.0,287042.0,0.0,0.0,287735.0,100.0,0.0,0.0,100.0,0.0,0.0,6.0402,11.4722,10.9889,1.2493,16.0478,0.8108,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,323.3849,17.9225,341.3074,9.0,0.0,0.0,0.0,0.0,0.0,4.0742,18.0,1.3061,1.4383,0.0,8.0,0.0955,1.3581,1.5101,25.0,2.8681,25.0,10800.0,10800.0,11113.6784,2712748872.0,244091.0,1178.1787,150345032.0,127608.0,0.0,0.0,3.0,221179.0,284.0,297433.0,100.0,0.0,0.0
103437_AstanaJapura_Bunte_MBTS,100.0,100.0,520.0,520.0,99.8127,533.0,534.0,0.0,0.0,534.0,100.0,65.0,65.0,97.8261,45.0,46.0,0.0,0.0,0.0,100.0,50.0,50.0,100.0,4.0,4.0,100.0,4.0,4.0,100.0,4.0,4.0,100.0,646.0,646.0,173.0471,40492657.0,233988.0,0.0,0.0,233988.0,0.0,0.0,234938.0,100.0,0.0,0.0,100.0,0.0,0.0,8.1,11.6654,5.205,0.3356,16.1217,0.6083,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,288.4256,12.4555,300.8811,5.0,0.0,0.0,4.0,0.0,4.0,3.2733,13.0,0.9667,1.0253,0.0,7.0,0.4024,1.0911,2.025,25.0,2.9164,25.0,10800.0,10800.0,5922.7904,2419489488.0,408505.0,405.4278,104484416.0,257714.0,0.0,0.0,7.0,149554.0,1806.0,448759.0,100.0,0.0,0.0
103437_AstanaJapura_Bunte_MBTS,100.0,100.0,589.0,589.0,99.8347,604.0,605.0,0.0,0.0,595.0,100.0,80.0,80.0,98.6111,71.0,72.0,0.0,0.0,0.0,100.0,97.0,97.0,100.0,9.0,9.0,100.0,9.0,9.0,100.0,9.0,9.0,99.8684,759.0,760.0,46.0817,6870048.0,149084.0,0.0,0.0,149084.0,0.0,0.0,149454.0,100.0,0.0,0.0,100.0,0.0,0.0,6.1002,11.5316,5.6768,0.6593,17.2381,0.6241,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,150.1161,12.832,162.948,5.0,0.0,0.0,9.0,0.0,9.0,3.4997,12.0,0.8975,1.0058,0.0,8.0,0.1722,1.1666,1.525,25.0,2.8829,25.0,10800.0,10800.0,5964.6306,1259264744.0,211122.0,696.2009,107642400.0,154614.0,0.0,0.0,30.0,132476.0,442.0,256708.0,100.0,0.0,0.0
103437_AstanaJapura_Bunte_MBTS,100.0,99.8765,809.0,810.0,100.0,827.0,827.0,0.2415,2.0,828.0,100.0,176.0,176.0,95.9184,94.0,98.0,0.0,0.0,0.0,100.0,129.0,129.0,100.0,15.0,15.0,100.0,15.0,15.0,100.0,15.0,15.0,100.0,993.0,993.0,28.2604,10123447.0,358220.0,0.0,0.0,358220.0,0.0,0.0,358986.0,100.0,0.0,0.0,100.0,0.0,0.0,6.8725,11.7529,11.5709,0.9673,17.0877,0.7292,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,419.6804,21.7758,441.4562,14.0,0.0,0.0,15.0,0.0,15.0,5.8978,27.0,1.7853,1.8911,0.0,8.0,0.0961,1.9659,1.7181,25.0,2.9382,25.0,10800.0,10800.0,11842.6848,3520534136.0,297275.0,993.5736,182668512.0,183850.0,0.0,0.0,8.0,294117.0,356.0,370284.0,100.0,0.0,0.0
103437_AstanaJapura_Bunte_MBTS,100.0,99.8457,647.0,648.0,99.7037,673.0,675.0,0.1468,1.0,681.0,100.0,212.0,212.0,98.8506,86.0,87.0,0.0,0.0,0.0,100.0,83.0,83.0,100.0,9.0,9.0,100.0,9.0,9.0,100.0,9.0,9.0,99.8742,794.0,795.0,38.0077,12538094.0,329883.0,0.0,0.0,329883.0,0.0,0.0,330391.0,100.0,0.0,0.0,100.0,0.0,0.0,6.7768,11.8138,11.3183,1.3356,17.0292,1.2257,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,392.5447,23.7433,416.288,7.0,0.0,0.0,9.0,0.0,9.0,5.9136,16.0,1.8775,1.9911,0.0,9.0,0.0793,1.9712,1.6942,25.0,2.9534,25.0,10800.0,10800.0,12119.0509,3292903688.0,271713.0,1273.1505,199172944.0,156441.0,0.0,0.0,20.0,278581.0,274.0,345309.0,100.0,0.0,0.0
