timelag,target,MAE,MSE,R_Squared,MAPE,MSLE
1,dl_avg,1.531,3.84,0.024,0.206,0.049
2,dl_avg,1.531,3.852,0.021,0.206,0.049
3,dl_avg,1.529,3.855,0.02,0.206,0.049
4,dl_avg,1.524,3.826,0.027,0.204,0.049
5,dl_avg,1.529,3.863,0.018,0.206,0.049
6,dl_avg,1.533,3.871,0.016,0.206,0.049
7,dl_avg,1.537,3.862,0.018,0.206,0.049
8,dl_avg,1.512,3.803,0.033,0.204,0.049
9,dl_avg,1.51,3.787,0.037,0.203,0.049
10,dl_avg,1.506,3.754,0.046,0.202,0.048
11,dl_avg,1.505,3.779,0.039,0.203,0.049
12,dl_avg,1.509,3.779,0.039,0.204,0.049
13,dl_avg,1.518,3.774,0.041,0.204,0.048
14,dl_avg,1.511,3.793,0.036,0.203,0.049
15,dl_avg,1.51,3.779,0.039,0.204,0.049
16,dl_avg,1.53,3.89,0.011,0.207,0.05
17,dl_avg,1.526,3.885,0.013,0.207,0.05
18,dl_avg,1.523,3.876,0.015,0.206,0.05
19,dl_avg,1.538,3.933,0.0,0.207,0.051
20,dl_avg,1.545,3.91,0.006,0.209,0.05
21,dl_avg,1.541,3.936,-0.0,0.208,0.051
22,dl_avg,1.535,3.893,0.011,0.207,0.05
23,dl_avg,1.538,3.922,0.003,0.208,0.051
24,dl_avg,1.536,3.831,0.026,0.207,0.05
1,ul_avg,0.234,0.089,0.033,0.293,0.023
2,ul_avg,0.232,0.089,0.033,0.29,0.023
3,ul_avg,0.234,0.09,0.025,0.292,0.023
4,ul_avg,0.233,0.089,0.031,0.29,0.023
5,ul_avg,0.235,0.091,0.015,0.294,0.023
6,ul_avg,0.233,0.09,0.029,0.29,0.023
7,ul_avg,0.231,0.09,0.027,0.287,0.023
8,ul_avg,0.232,0.09,0.021,0.289,0.023
9,ul_avg,0.232,0.09,0.023,0.288,0.023
10,ul_avg,0.234,0.091,0.013,0.292,0.023
11,ul_avg,0.232,0.09,0.023,0.287,0.023
12,ul_avg,0.229,0.088,0.041,0.282,0.022
13,ul_avg,0.23,0.089,0.033,0.284,0.023
14,ul_avg,0.229,0.088,0.042,0.282,0.022
15,ul_avg,0.228,0.088,0.049,0.28,0.022
16,ul_avg,0.229,0.088,0.046,0.281,0.022
17,ul_avg,0.229,0.088,0.046,0.281,0.022
18,ul_avg,0.228,0.087,0.057,0.278,0.022
19,ul_avg,0.229,0.087,0.056,0.279,0.022
20,ul_avg,0.229,0.088,0.049,0.282,0.022
21,ul_avg,0.228,0.087,0.057,0.278,0.022
22,ul_avg,0.228,0.087,0.053,0.278,0.022
23,ul_avg,0.229,0.087,0.06,0.273,0.022
24,ul_avg,0.228,0.087,0.061,0.275,0.022
