n_features,feature_selection,features,target,MAE,MSE,R_Squared,MAPE,MSLE
2,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)', 'MS_RBLER-DL(%)'], dtype='object')",dl_avg,1.572,3.89,0.011,0.209,0.049
3,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)'],
      dtype='object')",dl_avg,1.514,3.842,0.023,0.201,0.05
4,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)'],
      dtype='object')",dl_avg,1.46,3.621,0.08,0.195,0.046
5,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)'],
      dtype='object')",dl_avg,1.444,3.564,0.094,0.193,0.046
6,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)'],
      dtype='object')",dl_avg,1.5,3.726,0.053,0.201,0.048
7,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)'],
      dtype='object')",dl_avg,1.609,4.105,-0.043,0.212,0.052
8,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)'],
      dtype='object')",dl_avg,1.598,4.21,-0.07,0.209,0.053
9,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)'],
      dtype='object')",dl_avg,1.584,4.079,-0.037,0.206,0.051
10,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)'],
      dtype='object')",dl_avg,1.557,3.999,-0.016,0.202,0.05
11,Correlation,"Index(['MS_Average PDCP Layer Active Cell Throughput DL(number)',
       'MS_RBLER-DL(%)', 'MS_RBLER-DL_NOM(number)',
       'Average eNodeB RB utilization UL_LTE(%)',
       'Average eNodeB RB utilization UL (Nom)(number)',
       'MS_L.Traffic.ActiveUser.Max(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number)',
       'Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number)',
       'MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number)',
       'MS_PI_L.Traffic.User.Max(SUM)(number)',
       'MS_PI_L.Traffic.User.Avg(AVG)(number)'],
      dtype='object')",dl_avg,1.538,3.924,0.003,0.203,0.05
