,original_y_dl_avg,LSTM_Multivariable_dl_avg_prediction,FNN_Multivariable_dl_avg_prediction,original_y_ul_avg,LSTM_Multivariable_ul_avg_prediction,FNN_Multivariable_ul_avg_prediction
0,7.3348,7.720762,8.280394,0.8309,1.0527354,1.1537515
1,7.0738,8.317182,8.640613,0.9954,1.0445538,1.10796
2,9.6165,9.085119,9.01093,0.9403,1.043813,0.9979671
3,8.3826,9.783283,9.423469,0.6768,1.0563571,1.0965434
4,3.2012,10.30907,8.749862,0.3985,1.0705917,0.9952014
5,10.9724,10.110796,8.213366,1.125,1.0546745,1.0514158
6,5.0827,9.858833,10.053116,0.6178,1.0722432,1.1966953
7,11.3477,8.618126,6.743113,1.5252,1.0442827,0.97630525
8,11.0159,8.404247,9.391729,1.5059,1.0577896,1.0304953
9,10.1377,8.009291,9.209146,0.9856,1.060953,1.2157799
10,6.5017,7.937455,7.88214,1.0184,1.0657575,1.0661923
11,7.9124,7.8588996,8.810521,0.7688,1.0598323,1.1596118
12,9.566,7.972188,9.533829,1.0221,1.0563952,1.1315825
13,8.9775,7.917147,7.9142523,0.6276,1.0620043,0.91389257
14,9.3116,7.572432,7.472118,0.4255,1.0619277,1.0184336
15,7.4196,7.590228,8.808839,0.5875,1.0609431,0.7636202
16,8.5766,7.525613,7.95242,0.7286,1.0589195,0.9793768
17,9.9428,7.660365,8.748878,0.9884,1.0563114,1.0143889
18,7.7106,7.7019405,8.347159,0.7362,1.0523083,0.9041316
19,6.719,7.9192214,8.599105,0.6218,1.0505401,0.96068126
20,7.3589,7.680125,7.5437455,0.8207,1.048813,1.1179447
21,4.3034,7.6429787,7.941716,0.7754,1.0413176,1.171803
22,5.5467,7.868668,6.78146,1.0236,1.0234426,0.99518114
23,8.9848,7.8614335,6.7224073,0.9378,1.0201908,0.89463097
24,9.9427,8.043342,9.004504,1.1503,1.0195799,1.0877732
25,12.2184,7.9460726,8.719936,1.2288,1.0262295,1.1514376
26,6.4314,8.014819,9.622505,0.914,1.012611,1.030148
27,8.6884,8.504796,9.065356,0.6614,1.0007226,1.0559678
28,13.9202,9.035491,8.986391,1.5129,1.0039424,0.96704423
29,9.8401,9.226699,10.603107,1.3739,1.0182022,0.86985993
30,10.609,9.323552,9.589115,1.2782,1.0328689,1.117828
31,10.7167,9.255836,9.700083,1.215,1.0526336,0.96138984
32,11.7872,9.232422,8.986967,1.102,1.0682755,1.0481188
33,7.6014,9.196228,8.803917,0.7868,1.0875608,1.2018336
34,8.5042,8.960624,7.6859736,1.0473,1.0878718,0.97472626
35,8.8117,8.750116,9.079905,1.2654,1.0939358,0.90633255
36,10.7574,8.408176,8.299165,1.1387,1.0938323,0.87534046
37,3.8611,8.075551,9.050049,0.6604,1.0944355,1.0739114
38,10.0906,7.7427435,6.621316,1.0144,1.0864888,0.9752347
