original_y_ul_avg,LSTM_Multivariable_ul_avg_prediction,FNN_Multivariable_ul_avg_prediction
"0,831","1,053","1,154"
"0,995","1,045","1,108"
"0,94","1,044","0,998"
"0,677","1,056","1,097"
"0,399","1,071","0,995"
"1,125","1,055","1,051"
"0,618","1,072","1,197"
"1,525","1,044","0,976"
"1,506","1,058","1,03"
"0,986","1,061","1,216"
"1,018","1,066","1,066"
"0,769","1,06","1,16"
"1,022","1,056","1,132"
"0,628","1,062","0,914"
"0,425","1,062","1,018"
"0,588","1,061","0,764"
"0,729","1,059","0,979"
"0,988","1,056","1,014"
"0,736","1,052","0,904"
"0,622","1,051","0,961"
"0,821","1,049","1,118"
"0,775","1,041","1,172"
"1,024","1,023","0,995"
"0,938","1,02","0,895"
"1,15","1,02","1,088"
"1,229","1,026","1,151"
"0,914","1,013","1,03"
"0,661","1,001","1,056"
"1,513","1,004","0,967"
"1,374","1,018","0,87"
"1,278","1,033","1,118"
"1,215","1,053","0,961"
"1,102","1,068","1,048"
"0,787","1,088","1,202"
"1,047","1,088","0,975"
"1,265","1,094","0,906"
"1,139","1,094","0,875"
"0,66","1,094","1,074"
"1,014","1,086","0,975"
"0,719","1,082","1,1"
"1,487","1,076","0,93"
"1,848","1,083","1,3"
"1,04","1,086","0,988"
"0,541","1,074","1,15"
"0,944","1,059","0,612"
"1,406","1,055","1,138"
"1,455","1,066","1,232"
"1,352","1,084","1,377"
"1,085","1,104","1,17"
"0,458","1,117","0,975"
"0,251","1,104","0,863"
"0,894","1,089","0,826"
"0,74","1,067","1,054"
"0,376","1,061","0,99"
"1,5","1,063","0,815"
"1,188","1,06","1,01"
"1,147","1,062","1,267"
"1,108","1,072","0,98"
"1,184","1,089","0,934"
"1,472","1,104","1,13"
"1,009","1,111","1,199"
"0,948","1,086","1,157"
"0,854","1,096","1,292"
"0,729","1,073","0,976"
"0,747","1,064","0,615"
"0,879","1,06","1,037"
"0,989","1,045","1,215"
"0,672","1,039","1,263"
"0,849","1,008","0,77"
"0,996","1,003","0,954"
"1,287","0,988","1,156"
"0,66","0,989","1,1"
"0,842","0,984","0,994"
"1,078","0,987","1,005"
"1,05","1,004","1,028"
"0,861","1,026","0,924"
"0,948","1,058","0,976"
"1,013","1,075","1,123"
"1,078","1,098","0,882"
"1,366","1,109","1,051"
"1,123","1,125","1,274"
"1,427","1,126","1,1"
"1,386","1,11","1,012"
"1,071","1,11","0,972"
"1,371","1,104","1,024"
"0,574","1,111","0,958"
"1,206","1,077","1,161"
"1,247","1,089","0,947"
"0,913","1,104","0,996"
"0,818","1,097","0,868"
"1,192","1,083","0,965"
"1,677","1,076","1,305"
"1,175","1,089","1,301"
"1,417","1,089","1,158"
"0,627","1,089","1,148"
"1,263","1,073","1,049"
"1,5","1,085","0,979"
"1,32","1,095","1,199"
"0,586","1,108","1,12"
"0,988","1,093","0,978"
"1,135","1,111","1,068"
"0,981","1,124","1,129"
"1,199","1,143","0,952"
"1,178","1,159","1,107"
"0,781","1,169","1,133"
"0,718","1,157","1,05"
"0,868","1,148","1,176"
"0,702","1,133","1,001"
"1,089","1,102","0,815"
"0,958","1,096","1,195"
"1,181","1,092","1,088"
"1,091","1,091","1,051"
"1,212","1,097","1,096"
"0,986","1,115","1,007"
"1,1","1,099","1,288"
"1,109","1,091","1,074"
"1,103","1,089","1,109"
"1,221","1,096","1,047"
"0,93","1,09","1,128"
"0,709","1,082","1,114"
"1,153","1,084","0,812"
"1,269","1,076","0,987"
"1,331","1,068","1,07"
"0,947","1,06","1,239"
"0,984","1,056","1,021"
"1,26","1,053","1,3"
"0,924","1,041","1,22"
"0,935","1,038","1,005"
"1,048","1,044","1,206"
"1,208","1,04","1,228"
"1,092","1,046","1,048"
"1,365","1,061","1,171"
"0,864","1,083","0,988"
"1,191","1,104","1,013"
"1,906","1,134","1,252"
"1,201","1,159","1,237"
"1,027","1,162","1,041"
"0,753","1,181","1,029"
"1,152","1,153","1,125"
"1,915","1,153","1,133"
"1,655","1,18","1,338"
"1,539","1,199","1,306"
"1,206","1,201","1,172"
"1,239","1,188","1,015"
