timelag,target,MAE,MSE,R_Squared,MAPE,MSLE
1,dl_avg,1.532,3.84,0.024,0.206,0.049
2,dl_avg,1.53,3.849,0.022,0.205,0.049
3,dl_avg,1.531,3.866,0.017,0.205,0.049
4,dl_avg,1.527,3.847,0.022,0.205,0.049
5,dl_avg,1.528,3.849,0.022,0.205,0.049
6,dl_avg,1.532,3.86,0.019,0.205,0.049
7,dl_avg,1.535,3.863,0.018,0.206,0.049
8,dl_avg,1.511,3.795,0.035,0.203,0.049
9,dl_avg,1.507,3.782,0.039,0.203,0.048
10,dl_avg,1.507,3.767,0.043,0.203,0.048
11,dl_avg,1.509,3.775,0.04,0.203,0.049
12,dl_avg,1.511,3.785,0.038,0.204,0.049
13,dl_avg,1.514,3.785,0.038,0.204,0.049
14,dl_avg,1.512,3.794,0.036,0.204,0.049
15,dl_avg,1.509,3.781,0.039,0.204,0.049
16,dl_avg,1.525,3.877,0.015,0.206,0.05
17,dl_avg,1.521,3.86,0.019,0.205,0.05
18,dl_avg,1.522,3.858,0.019,0.205,0.05
19,dl_avg,1.539,3.912,0.006,0.208,0.05
20,dl_avg,1.543,3.936,-0.001,0.208,0.051
21,dl_avg,1.546,3.949,-0.004,0.209,0.051
22,dl_avg,1.536,3.912,0.006,0.208,0.051
23,dl_avg,1.528,3.859,0.019,0.207,0.05
24,dl_avg,1.536,3.853,0.021,0.207,0.05
1,ul_avg,0.234,0.09,0.023,0.294,0.023
2,ul_avg,0.233,0.09,0.027,0.292,0.023
3,ul_avg,0.234,0.09,0.024,0.293,0.023
4,ul_avg,0.233,0.089,0.031,0.29,0.023
5,ul_avg,0.234,0.09,0.022,0.292,0.023
6,ul_avg,0.233,0.09,0.026,0.291,0.023
7,ul_avg,0.232,0.09,0.025,0.288,0.023
8,ul_avg,0.232,0.09,0.022,0.289,0.023
9,ul_avg,0.233,0.091,0.018,0.29,0.023
10,ul_avg,0.232,0.09,0.025,0.288,0.023
11,ul_avg,0.231,0.089,0.03,0.285,0.023
12,ul_avg,0.229,0.089,0.036,0.283,0.023
13,ul_avg,0.229,0.088,0.041,0.282,0.022
14,ul_avg,0.229,0.088,0.043,0.281,0.022
15,ul_avg,0.229,0.088,0.044,0.282,0.022
16,ul_avg,0.228,0.088,0.047,0.28,0.022
17,ul_avg,0.228,0.088,0.047,0.28,0.022
18,ul_avg,0.229,0.087,0.053,0.28,0.022
19,ul_avg,0.229,0.087,0.052,0.28,0.022
20,ul_avg,0.228,0.087,0.055,0.28,0.022
21,ul_avg,0.228,0.087,0.059,0.278,0.022
22,ul_avg,0.228,0.087,0.057,0.277,0.022
23,ul_avg,0.228,0.086,0.063,0.275,0.022
24,ul_avg,0.228,0.086,0.063,0.275,0.022
