ds,eNodeB Name,Integrity,RRC Setup Success Ratio_LTE(%),RRC Setup Success Ratio_NOM_LTE(number),RRC Setup Success Ratio_DENOM_LTE(number),E-RAB Setup Success Ratio_LTE(%),E-RAB Setup Success Ratio_NOM_LTE(number),E-RAB Setup Success Ratio (Denom),E-RAB Drop Ratio_LTE(%),E-RAB Drop Ratio_NOM_LTE(number),E-RAB Drop Ratio_DENOM_LTE(number),Intra-eNB Handover Success Ratio_LTE(%),Intra-eNB Handover Success Ratio_NOM_LTE(number),Intra-eNB Handover Success Ratio_DENOM_LTE(number),Inter-eNB HO Success Ratio (X2-Based)_new_LTE(%),Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number),Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number),Inter-RAT HO Success Ratio %,Inter-RAT HO Success Ratio (Nom),Inter-RAT HO Success Ratio (Denom)(number),IRAT Redir Success Rate_LTE(%),IRAT Redir Success Rate_NOM_LTE(number),IRAT Redir Success Rate_DENOM_LTE(number),CSFB Prepare Success Rate_LTE(number),CSFB Prepare Success Rate_NOM_LTE(number),CSFB Prepare Success Rate_DENOM_LTE(number),CSFB execution ratio_LTE(%),CSFB execution ratio_NOM_LTE(number),CSFB execution ratio_DENOM_LTE(number),CSFB SR v7.0_LTE(%),CSFB SR v7.0_NOM_LTE(number),CSFB SR v7.0_DENOM_LTE(number),S1 Signaling Success Ratio_LTE(%),S1 Signaling Success Ratio_NOM_LTE(number),S1 Signaling Success Ratio_DENOM_LTE(number),Packet Delay Budget (UE to PGW),Packet Delay Budget (UE to PGW) (Nom)(number),Packet Delay Budget (UE to PGW) (Denom)(number),Packet Delay Budget QCI1_QCI5_LTE(ms),Packet Delay Budget QCI1_QCI5 (Nom)(number),Packet Delay Budget QCI1_QCI5 (Denom)(number),Packet Loss-DL_LTE(%),Packet Loss-DL (Nom)(number),Packet Loss-DL (Denom)(number),MS_L2W CSFB Prepare SR(%),MS_L2W CSFB Prepare SR_NOM(number),MS_L2W CSFB Prepare SR_DENOM(number),MS_L2W CSFB Execution SR(%),MS_L2W CSFB Execution SR_NOM(number),MS_L2W CSFB Execution SR_DENOM(number),Maximum eNodeB RB utilization DL_LTE(%),Average eNodeB RB utilization UL_LTE(%),dl_avg,ul_avg,dl_peak,ul_peak,MS_RTWP(dBm),RTWP_LTE(dB),RTWP(dBm0),Duration of Cell Unavailability_LTE(s),L.Cell.Avail.Dur(s),MS_Radio Network Availability Rate (LTE)(%),Volume Traffic DL (MB)(MB),MS_Volume Traffic UL (MB)(MB),Total Traffic_LTE(MB),MS_PI_L.Traffic.User.Max(MAX)(number),MS_Number of CSFB-based blind redirections from E-UTRAN to GERAN(number),MS_Number of CSFB-based blind redirections from E-UTRAN to WCDMA(number),MS_CSFB to UMTS Times(times)(times),MS_CSFB to GSM Times(times)(times),MS_L.RRCRedirection.E2W.CSFB(number),MS_PI_L.Traffic.User.Avg(SUM)(number),MS_PI_L.Traffic.User.Max(SUM)(number),MS_L.Traffic.User.DLData.Avg(number),MS_L.traffic.User.ULData.Avg(number),MS_L.Traffic.ActiveUser.Avg(number),MS_L.Traffic.ActiveUser.Max(number),MS_RBLER-DL(%),MS_PI_L.Traffic.User.Avg(AVG)(number),Maximum eNodeB RB utilization DL (Nom)(number),Maximum eNodeB RB utilization DL (Denom)(number),Average eNodeB RB utilization UL (Nom)(number),Average eNodeB RB utilization UL (Denom)(number),Radio Network Availability Rate (LTE) (Nom)(number),Radio Network Availability Rate (LTE) (Denom)(number),MS_Average PDCP Layer Active Cell Throughput DL(number),MS_Average PDCP Layer Active Cell Throughput DL_NOM(number),MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number),MS_Average PDCP Layer Active Cell Throughput UL(number),MS_Average PDCP Layer Active Cell Throughput UL_NOM(number),MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number),MS_Duration of Cell Unavailability(s),MS_UL Packet Loss Rate(%),MS_UL Packet Loss Rate_NOM(number),MS_UL Packet Loss Rate_DENOM(number),MS_RBLER-DL_NOM(number),MS_RBLER-DL_DENOM(number),MS_Inter-RAT HO Success Ratio(%),MS_Inter-RAT HO Success Ratio_DENOM(number),MS_Inter-RAT HO Success Ratio_NOM(number)
2017-04-03 00:00:00,100049_jembatan_senen_singajaya_mbts,100%,99.933,1491.0,1492.0,100.0,1650.0,1650.0,0.0606,1.0,1651.0,100.0,54.0,54.0,100.0,35.0,35.0,/0,0.0,0.0,100.0,4.0,4.0,/0,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,99.8689,1523.0,1525.0,27.5026,13994554.0,508844.0,/0,0.0,508844.0,/0,1.0,509121.0,100.0,0.0,0.0,100.0,0.0,0.0,7.1104,13.27,13.131,1.8518,17.4742,2.7872,-117.6667,-117.6667,-117.6667,0.0,10800.0,100.0,508.0208,67.4094,575.4303,10.0,0.0,0.0,0.0,0.0,0.0,10.8653,23.0,3.5147,4.1347,0.0,9.0,0.0295,3.6218,1.7776,25.0,3.3175,25.0,10800.0,10800.0,11189.6453,4261587608.0,380851.0,1627.3213,565471376.0,347486.0,0.0,0.0,3.0,449159.0,168.0,570275.0,100.0,0.0,0.0
2017-04-03 01:00:00,100049_jembatan_senen_singajaya_mbts,100%,100,1557.0,1557.0,100.0,1720.0,1720.0,0,0.0,1722.0,100.0,41.0,41.0,100.0,22.0,22.0,/0,0.0,0.0,,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,100,1586.0,1586.0,4.6359,686681.0,148124.0,/0,0.0,148124.0,/0,0.0,148424.0,100.0,0.0,0.0,100.0,0.0,0.0,4.8712,12.68,12.6734,0.9493,15.3611,2.2551,-117.6667,-117.6667,-117.6667,0.0,10800.0,100.0,82.6061,13.9336,96.5397,9.0,0.0,0.0,0.0,0.0,0.0,9.7517,22.0,3.0,3.5478,0.0,9.0,0.0686,3.2506,1.2178,25.0,3.17,25.0,10800.0,10800.0,5137.0335,692949864.0,134893.0,735.0813,116883800.0,159008.0,0.0,0.0,3.0,149694.0,192.0,279770.0,100.0,0.0,0.0
2017-04-03 02:00:00,100049_jembatan_senen_singajaya_mbts,100%,100,1437.0,1437.0,100.0,1546.0,1546.0,0,0.0,1548.0,100.0,82.0,82.0,100.0,123.0,123.0,/0,0.0,0.0,100.0,2.0,2.0,/0,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,100,1470.0,1470.0,34.1686,20399807.0,597033.0,/0,0.0,597033.0,/0,1.0,598209.0,100.0,0.0,0.0,100.0,0.0,0.0,8.258,12.3762,12.0494,1.3613,15.8601,0.6176,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,713.0021,31.5092,744.5113,10.0,0.0,0.0,0.0,0.0,0.0,9.192,25.0,2.5008,2.9625,0.0,9.0,0.0705,3.064,2.0645,25.0,3.0941,25.0,10800.0,10800.0,12276.7453,5981095248.0,487189.0,1213.8494,264318144.0,217752.0,0.0,0.0,9.0,391976.0,427.0,605560.0,100.0,0.0,0.0
2017-04-03 03:00:00,100049_jembatan_senen_singajaya_mbts,100%,100,1291.0,1291.0,100.0,1385.0,1385.0,0,0.0,1386.0,100.0,28.0,28.0,100.0,783.0,783.0,/0,0.0,0.0,,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,100,1326.0,1326.0,28.1879,14318207.0,507956.0,/0,0.0,507956.0,/0,0.0,511292.0,100.0,0.0,0.0,100.0,0.0,0.0,8.2532,11.9761,10.0503,1.2258,13.4226,2.362,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,642.0142,28.4943,670.5085,9.0,0.0,0.0,0.0,0.0,0.0,7.4354,19.0,1.5561,2.0653,0.0,8.0,0.1322,2.4785,2.0633,25.0,2.994,25.0,10800.0,10800.0,11810.0978,5385605352.0,456017.0,1190.603,239027832.0,200762.0,0.0,0.0,0.0,333783.0,721.0,545415.0,100.0,0.0,0.0
2017-04-03 04:00:00,100049_jembatan_senen_singajaya_mbts,100%,100,1629.0,1629.0,100.0,1743.0,1743.0,0.0571,1.0,1751.0,100.0,8.0,8.0,100.0,26.0,26.0,/0,0.0,0.0,100.0,1.0,1.0,100,1.0,1.0,100,1.0,1.0,100,1.0,1.0,100,1663.0,1663.0,12.3578,1164798.0,94256.0,/0,0.0,94256.0,/0,0.0,94397.0,100.0,0.0,0.0,100.0,0.0,0.0,4.496,11.3022,9.1652,0.8577,10.1136,0.3587,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,102.3887,6.6247,109.0134,10.0,0.0,0.0,1.0,0.0,1.0,7.3851,20.0,1.1302,1.5282,0.0,7.0,0.0886,2.4617,1.124,25.0,2.8255,25.0,10800.0,10800.0,8739.3031,858898712.0,98280.0,831.3034,55571800.0,66849.0,0.0,0.0,5.0,75871.0,146.0,164795.0,100.0,0.0,0.0
2017-04-03 05:00:00,100049_jembatan_senen_singajaya_mbts,100%,100,1773.0,1773.0,99.9465,1869.0,1870.0,0,0.0,1862.0,100.0,78.0,78.0,100.0,37.0,37.0,/0,0.0,0.0,100.0,8.0,8.0,100,6.0,6.0,100,6.0,6.0,100,6.0,6.0,99.9449,1814.0,1815.0,25.9137,7692990.0,296870.0,/0,0.0,296870.0,/0,0.0,297213.0,100.0,0.0,0.0,100.0,0.0,0.0,6.2416,12.1151,11.185,1.6704,15.2839,9.2501,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,324.8807,37.1182,361.9989,13.0,0.0,0.0,6.0,0.0,6.0,10.6758,25.0,2.4651,3.0678,0.0,9.0,0.0695,3.5586,1.5604,25.0,3.0288,25.0,10800.0,10800.0,10773.1169,2725296928.0,252972.0,1484.7927,311369936.0,209706.0,0.0,0.0,116.0,295094.0,252.0,362491.0,100.0,0.0,0.0
2017-04-03 06:00:00,100049_jembatan_senen_singajaya_mbts,100%,100,1790.0,1790.0,100.0,1890.0,1890.0,0,0.0,1878.0,100.0,386.0,386.0,100.0,118.0,118.0,/0,0.0,0.0,100.0,10.0,10.0,/0,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,100,1833.0,1833.0,23.0511,25951894.0,1125843.0,/0,0.0,1125843.0,/0,0.0,1127330.0,100.0,0.0,0.0,100.0,0.0,0.0,11.0705,13.747,11.4918,1.3926,16.327,8.2504,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,1015.2754,86.0147,1101.2901,12.0,0.0,0.0,0.0,0.0,0.0,12.9483,27.0,4.1578,4.6536,0.0,12.0,0.0635,4.3161,2.7676,25.0,3.4368,25.0,10800.0,10800.0,10067.9101,8516747160.0,845930.0,1273.0512,721543800.0,566783.0,0.0,0.0,76.0,832777.0,661.0,1040578.0,100.0,0.0,0.0
2017-04-03 07:00:00,100049_jembatan_senen_singajaya_mbts,100%,100,1480.0,1480.0,100.0,1530.0,1530.0,0.065,1.0,1538.0,100.0,119.0,119.0,100.0,178.0,178.0,/0,0.0,0.0,100.0,14.0,14.0,100,4.0,4.0,100,4.0,4.0,100,4.0,4.0,100,1512.0,1512.0,29.3735,17842289.0,607429.0,/0,0.0,607429.0,/0,0.0,607900.0,100.0,0.0,0.0,100.0,0.0,0.0,8.4252,12.7814,13.1227,1.3808,17.3732,2.1672,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,677.1845,49.1822,726.3667,17.0,0.0,0.0,4.0,0.0,4.0,11.3933,30.0,3.5095,3.76,0.0,11.0,0.0358,3.7978,2.1063,25.0,3.1953,25.0,10800.0,10800.0,12168.6098,5680635616.0,466827.0,1288.91,412569784.0,320092.0,0.0,0.0,15.0,561991.0,215.0,599925.0,100.0,0.0,0.0
2017-04-03 08:00:00,100049_jembatan_senen_singajaya_mbts,100%,100,1376.0,1376.0,99.9285,1397.0,1398.0,0,0.0,1395.0,100.0,208.0,208.0,100.0,312.0,312.0,/0,0.0,0.0,100.0,67.0,67.0,100,3.0,3.0,100,3.0,3.0,100,3.0,3.0,99.9322,1473.0,1474.0,38.9152,32831092.0,843658.0,/0,0.0,843658.0,/0,1.0,844839.0,100.0,0.0,0.0,100.0,0.0,0.0,10.9918,14.2163,9.2176,1.0058,15.8595,4.7206,-117.3333,-117.3333,-117.3333,0.0,10800.0,100.0,876.621,83.1219,959.7429,12.0,0.0,0.0,3.0,0.0,3.0,12.8195,27.0,4.7422,4.945,0.0,12.0,0.0759,4.2732,2.748,25.0,3.5541,25.0,10800.0,10800.0,10194.5156,7353630304.0,721332.0,1030.6619,697276784.0,676533.0,0.0,0.0,823.0,776629.0,706.0,929880.0,100.0,0.0,0.0
2017-04-03 09:00:00,100049_jembatan_senen_singajaya_mbts,100%,100,1530.0,1530.0,100.0,1538.0,1538.0,0,0.0,1575.0,100.0,209.0,209.0,99.6825,314.0,315.0,/0,0.0,0.0,100.0,64.0,64.0,100,2.0,2.0,100,2.0,2.0,100,2.0,2.0,100,1645.0,1645.0,28.6986,18554188.0,646520.0,/0,0.0,646520.0,/0,0.0,647480.0,100.0,0.0,0.0,100.0,0.0,0.0,9.3422,14.0162,10.5008,1.6812,14.5857,4.2105,-117.6667,-117.6667,-117.6667,0.0,10800.0,100.0,641.7833,98.6415,740.4247,11.0,0.0,0.0,2.0,0.0,2.0,12.4875,28.0,4.075,4.2975,0.0,12.0,0.0601,4.1625,2.3356,25.0,3.5041,25.0,10800.0,10800.0,9959.8697,5383668112.0,540536.0,1607.5856,827464512.0,514725.0,0.0,0.0,49.0,618907.0,421.0,700401.0,100.0,0.0,0.0
