ds,eNodeB Name,Integrity,RRC Setup Success Ratio_LTE(%),RRC Setup Success Ratio_NOM_LTE(number),RRC Setup Success Ratio_DENOM_LTE(number),E-RAB Setup Success Ratio_LTE(%),E-RAB Setup Success Ratio_NOM_LTE(number),E-RAB Setup Success Ratio (Denom),E-RAB Drop Ratio_LTE(%),E-RAB Drop Ratio_NOM_LTE(number),E-RAB Drop Ratio_DENOM_LTE(number),Intra-eNB Handover Success Ratio_LTE(%),Intra-eNB Handover Success Ratio_NOM_LTE(number),Intra-eNB Handover Success Ratio_DENOM_LTE(number),Inter-eNB HO Success Ratio (X2-Based)_new_LTE(%),Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number),Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number),Inter-RAT HO Success Ratio %,Inter-RAT HO Success Ratio (Nom),Inter-RAT HO Success Ratio (Denom)(number),IRAT Redir Success Rate_LTE(%),IRAT Redir Success Rate_NOM_LTE(number),IRAT Redir Success Rate_DENOM_LTE(number),CSFB Prepare Success Rate_LTE(number),CSFB Prepare Success Rate_NOM_LTE(number),CSFB Prepare Success Rate_DENOM_LTE(number),CSFB execution ratio_LTE(%),CSFB execution ratio_NOM_LTE(number),CSFB execution ratio_DENOM_LTE(number),CSFB SR v7.0_LTE(%),CSFB SR v7.0_NOM_LTE(number),CSFB SR v7.0_DENOM_LTE(number),S1 Signaling Success Ratio_LTE(%),S1 Signaling Success Ratio_NOM_LTE(number),S1 Signaling Success Ratio_DENOM_LTE(number),Packet Delay Budget (UE to PGW),Packet Delay Budget (UE to PGW) (Nom)(number),Packet Delay Budget (UE to PGW) (Denom)(number),Packet Delay Budget QCI1_QCI5_LTE(ms),Packet Delay Budget QCI1_QCI5 (Nom)(number),Packet Delay Budget QCI1_QCI5 (Denom)(number),Packet Loss-DL_LTE(%),Packet Loss-DL (Nom)(number),Packet Loss-DL (Denom)(number),MS_L2W CSFB Prepare SR(%),MS_L2W CSFB Prepare SR_NOM(number),MS_L2W CSFB Prepare SR_DENOM(number),MS_L2W CSFB Execution SR(%),MS_L2W CSFB Execution SR_NOM(number),MS_L2W CSFB Execution SR_DENOM(number),Maximum eNodeB RB utilization DL_LTE(%),Average eNodeB RB utilization UL_LTE(%),dl_avg,ul_avg,dl_peak,ul_peak,MS_RTWP(dBm),RTWP_LTE(dB),RTWP(dBm0),Duration of Cell Unavailability_LTE(s),L.Cell.Avail.Dur(s),MS_Radio Network Availability Rate (LTE)(%),Volume Traffic DL (MB)(MB),MS_Volume Traffic UL (MB)(MB),Total Traffic_LTE(MB),MS_PI_L.Traffic.User.Max(MAX)(number),MS_Number of CSFB-based blind redirections from E-UTRAN to GERAN(number),MS_Number of CSFB-based blind redirections from E-UTRAN to WCDMA(number),MS_CSFB to UMTS Times(times)(times),MS_CSFB to GSM Times(times)(times),MS_L.RRCRedirection.E2W.CSFB(number),MS_PI_L.Traffic.User.Avg(SUM)(number),MS_PI_L.Traffic.User.Max(SUM)(number),MS_L.Traffic.User.DLData.Avg(number),MS_L.traffic.User.ULData.Avg(number),MS_L.Traffic.ActiveUser.Avg(number),MS_L.Traffic.ActiveUser.Max(number),MS_RBLER-DL(%),MS_PI_L.Traffic.User.Avg(AVG)(number),Maximum eNodeB RB utilization DL (Nom)(number),Maximum eNodeB RB utilization DL (Denom)(number),Average eNodeB RB utilization UL (Nom)(number),Average eNodeB RB utilization UL (Denom)(number),Radio Network Availability Rate (LTE) (Nom)(number),Radio Network Availability Rate (LTE) (Denom)(number),MS_Average PDCP Layer Active Cell Throughput DL(number),MS_Average PDCP Layer Active Cell Throughput DL_NOM(number),MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number),MS_Average PDCP Layer Active Cell Throughput UL(number),MS_Average PDCP Layer Active Cell Throughput UL_NOM(number),MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number),MS_Duration of Cell Unavailability(s),MS_UL Packet Loss Rate(%),MS_UL Packet Loss Rate_NOM(number),MS_UL Packet Loss Rate_DENOM(number),MS_RBLER-DL_NOM(number),MS_RBLER-DL_DENOM(number),MS_Inter-RAT HO Success Ratio(%),MS_Inter-RAT HO Success Ratio_DENOM(number),MS_Inter-RAT HO Success Ratio_NOM(number)
2017-04-03 00:00:00,100072_ender_selatan_ender_mbts,100%,99.683,629.0,631.0,99.8485,659.0,660.0,0.1504,1.0,665.0,99.7403,384.0,385.0,91.8367,45.0,49.0,/0,0.0,0.0,100.0,94.0,94.0,/0,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,100,792.0,792.0,18.3148,14304639.0,781041.0,/0,0.0,781041.0,/0,0.0,782502.0,100.0,0.0,0.0,100.0,0.0,0.0,19.1261,16.4303,6.1402,0.2813,12.5678,1.4684,-117.5,-117.5,-117.5,0.0,7200.0,100.0,893.3643,43.2123,936.5766,11.0,0.0,0.0,0.0,0.0,0.0,7.6125,20.0,3.2606,3.6681,0.0,10.0,0.1096,3.8063,4.7815,25.0,4.1076,25.0,7200.0,7200.0,6529.9321,7494083104.0,1147651.0,348.312,362491120.0,1040708.0,0.0,0.0,96.0,546203.0,1425.0,1299889.0,100.0,0.0,0.0
2017-04-03 01:00:00,100072_ender_selatan_ender_mbts,100%,100,469.0,469.0,99.7955,488.0,489.0,0,0.0,485.0,96.6387,115.0,119.0,92.5926,25.0,27.0,/0,0.0,0.0,100.0,57.0,57.0,100,2.0,2.0,100,2.0,2.0,100,2.0,2.0,100,575.0,575.0,15.9298,5247337.0,329403.0,/0,0.0,329403.0,/0,0.0,329787.0,100.0,0.0,0.0,100.0,0.0,0.0,9.018,11.9847,8.5089,0.6029,10.2108,0.5427,-118.5,-118.5,-118.5,0.0,7200.0,100.0,417.1624,15.7264,432.8888,6.0,0.0,0.0,2.0,0.0,2.0,2.8447,12.0,0.8186,1.0242,0.0,7.0,0.047,1.4224,2.2545,25.0,2.9962,25.0,7200.0,7200.0,8093.0911,3499412120.0,432395.0,618.8007,131922736.0,213191.0,0.0,0.0,6.0,206034.0,222.0,472288.0,100.0,0.0,0.0
2017-04-03 02:00:00,100072_ender_selatan_ender_mbts,100%,100,403.0,403.0,100.0,421.0,421.0,0.2387,1.0,419.0,100.0,266.0,266.0,100.0,54.0,54.0,/0,0.0,0.0,100.0,46.0,46.0,100,3.0,3.0,100,3.0,3.0,100,3.0,3.0,100,473.0,473.0,57.1504,19115995.0,334486.0,/0,0.0,334486.0,/0,0.0,336040.0,100.0,0.0,0.0,100.0,0.0,0.0,9.1427,12.6958,8.1917,0.4013,14.7951,0.6114,-118.5,-118.5,-118.5,0.0,7200.0,100.0,422.6992,20.9416,443.6408,9.0,0.0,0.0,3.0,0.0,3.0,2.8314,17.0,0.8097,0.9814,0.0,7.0,0.137,1.4157,2.2857,25.0,3.1739,25.0,7200.0,7200.0,9335.8728,3545857856.0,379810.0,479.642,175671288.0,366255.0,0.0,0.0,2064.0,303626.0,580.0,423466.0,100.0,0.0,0.0
2017-04-03 03:00:00,100072_ender_selatan_ender_mbts,100%,100,356.0,356.0,99.1914,368.0,371.0,0.2688,1.0,372.0,100.0,268.0,268.0,100.0,2.0,2.0,/0,0.0,0.0,100.0,20.0,20.0,100,3.0,3.0,100,3.0,3.0,100,3.0,3.0,100,403.0,403.0,23.3987,10055910.0,429764.0,/0,0.0,429764.0,/0,1.0,431550.0,100.0,0.0,0.0,100.0,0.0,0.0,10.6396,13.0685,7.4303,0.3623,17.1577,0.7417,-118.5,-118.5,-118.5,0.0,7200.0,100.0,477.9054,26.2618,504.1672,7.0,0.0,0.0,3.0,0.0,3.0,2.6661,12.0,1.0561,1.1164,0.0,6.0,0.099,1.3331,2.6599,25.0,3.2671,25.0,7200.0,7200.0,7917.4652,4008961000.0,506344.0,439.0416,220300120.0,501775.0,0.0,0.0,186.0,412430.0,557.0,562468.0,100.0,0.0,0.0
2017-04-03 04:00:00,100072_ender_selatan_ender_mbts,100%,100,478.0,478.0,100.0,485.0,485.0,0,0.0,488.0,100.0,161.0,161.0,100.0,6.0,6.0,/0,0.0,0.0,100.0,39.0,39.0,/0,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,100,539.0,539.0,6.5196,1327343.0,203592.0,/0,0.0,203592.0,/0,0.0,203753.0,100.0,0.0,0.0,100.0,0.0,0.0,5.4902,11.6556,10.9738,0.6443,12.9772,0.5904,-118.5,-118.5,-118.5,0.0,7200.0,100.0,173.1631,12.4205,185.5836,6.0,0.0,0.0,0.0,0.0,0.0,3.0242,11.0,0.8231,0.9892,0.0,6.0,0.0376,1.5121,1.3726,25.0,2.9139,25.0,7200.0,7200.0,8448.1834,1452597552.0,171942.0,674.6661,104190704.0,154433.0,0.0,0.0,21.0,186894.0,80.0,213013.0,100.0,0.0,0.0
2017-04-03 05:00:00,100072_ender_selatan_ender_mbts,100%,100,563.0,563.0,100.0,576.0,576.0,0,0.0,578.0,100.0,220.0,220.0,100.0,35.0,35.0,/0,0.0,0.0,100.0,54.0,54.0,/0,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,99.845,644.0,645.0,33.1675,8977071.0,270659.0,/0,0.0,270659.0,/0,0.0,271345.0,100.0,0.0,0.0,100.0,0.0,0.0,7.2614,12.548,8.8012,0.4735,13.982,1.6827,-118.5,-118.5,-118.5,0.0,7200.0,100.0,265.9288,18.087,284.0158,8.0,0.0,0.0,0.0,0.0,0.0,4.0125,16.0,1.1431,1.3545,0.0,6.0,0.0743,2.0063,1.8153,25.0,3.137,25.0,7200.0,7200.0,8630.8163,2230772560.0,258466.0,549.7204,151724472.0,276003.0,0.0,0.0,81.0,218515.0,232.0,312215.0,100.0,0.0,0.0
2017-04-03 06:00:00,100072_ender_selatan_ender_mbts,100%,100,531.0,531.0,100.0,543.0,543.0,0,0.0,543.0,100.0,703.0,703.0,100.0,27.0,27.0,/0,0.0,0.0,100.0,46.0,46.0,/0,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,100,609.0,609.0,7.4754,3565435.0,476956.0,/0,0.0,476956.0,/0,1.0,478822.0,100.0,0.0,0.0,100.0,0.0,0.0,8.5984,13.6961,10.9043,0.7528,11.9353,2.9643,-118.0,-118,-118,0.0,7200.0,100.0,386.5062,34.0561,420.5623,8.0,0.0,0.0,0.0,0.0,0.0,5.7206,16.0,2.0042,2.4525,0.0,7.0,0.1379,2.8603,2.1496,25.0,3.424,25.0,7200.0,7200.0,9248.981,3242248792.0,350552.0,775.1009,285683600.0,368576.0,0.0,0.0,66.0,445390.0,618.0,448180.0,100.0,0.0,0.0
2017-04-03 07:00:00,100072_ender_selatan_ender_mbts,100%,100,450.0,450.0,100.0,459.0,459.0,0,0.0,471.0,100.0,361.0,361.0,94.7368,18.0,19.0,/0,0.0,0.0,100.0,51.0,51.0,/0,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,100,521.0,521.0,43.4873,19987720.0,459622.0,/0,0.0,459622.0,/0,1.0,462420.0,100.0,0.0,0.0,100.0,0.0,0.0,11.4447,18.158,6.456,0.6648,13.2698,1.4338,-117.5,-117.5,-117.5,0.0,7200.0,100.0,403.553,88.0031,491.5561,8.0,0.0,0.0,0.0,0.0,0.0,5.0525,15.0,1.9709,2.4821,0.0,8.0,0.1509,2.5263,2.8612,25.0,4.5395,25.0,7200.0,7200.0,6649.1363,3385248192.0,509126.0,779.4285,738223224.0,947134.0,0.0,0.0,107.0,331921.0,952.0,630844.0,100.0,0.0,0.0
2017-04-03 08:00:00,100072_ender_selatan_ender_mbts,100%,100,467.0,467.0,100.0,478.0,478.0,0,0.0,487.0,100.0,264.0,264.0,100.0,29.0,29.0,/0,0.0,0.0,100.0,60.0,60.0,/0,0.0,0.0,/0,0.0,0.0,/0,0.0,0.0,100,553.0,553.0,29.9002,11782279.0,394054.0,/0,0.0,394054.0,/0,1.0,395167.0,100.0,0.0,0.0,100.0,0.0,0.0,10.0799,13.8292,8.527,0.37,12.5595,0.7071,-118.0,-118,-118,0.0,7200.0,100.0,430.2641,24.589,454.8531,8.0,0.0,0.0,0.0,0.0,0.0,5.7755,15.0,2.2736,2.7283,0.0,9.0,0.0587,2.8878,2.52,25.0,3.4573,25.0,7200.0,7200.0,8322.8796,3609316592.0,433662.0,440.7351,206267560.0,468008.0,0.0,0.0,92.0,315355.0,307.0,522926.0,100.0,0.0,0.0
2017-04-03 09:00:00,100072_ender_selatan_ender_mbts,100%,100,428.0,428.0,100.0,455.0,455.0,0.4329,2.0,462.0,99.093,437.0,441.0,94.1176,16.0,17.0,/0,0.0,0.0,100.0,86.0,86.0,100,3.0,3.0,100,3.0,3.0,100,3.0,3.0,100,564.0,564.0,34.5832,10737257.0,310476.0,/0,0.0,310476.0,/0,1.0,311898.0,100.0,0.0,0.0,100.0,0.0,0.0,9.6058,13.0421,7.7193,0.4161,10.33,0.6272,-118.5,-118.5,-118.5,0.0,7200.0,100.0,373.4716,21.6118,395.0834,7.0,0.0,0.0,3.0,0.0,3.0,4.3749,12.0,1.5739,1.7228,0.0,8.0,0.0982,2.1875,2.4014,25.0,3.2605,25.0,7200.0,7200.0,8472.5816,3132906488.0,369770.0,496.5369,181293072.0,365115.0,0.0,0.0,87.0,282078.0,423.0,430634.0,100.0,0.0,0.0
